sex,age,ihd,stroke,diabetes,cancerBreast,cancerColorectum,cancerLung,cancerStomach,cancerLiver,cancerKidney,cancerPancreas,cirrhosis
female,23,0,0.002554888,0.000949882,0,0,0,0,0.003090979,0,0,0.001243236
female,24,0,0.002722419,0.00099338,0,0,0,0,0.003810128,0,0,0.001527738
female,25,0,0.002915935,0.001031937,0.000799815,0,0,0.000361483,0.004523787,0,0,0.001887581
female,26,0,0.003137481,0.001066996,0.001898272,0,0,0.00056143,0.005198298,0,0,0.002336943
female,27,0,0.0033891,0.0011,0.0037,0,0,0.0008,0.0058,0,0,0.00289
female,28,0,0.003672447,0.001131715,0.006294272,0,0,0.001073736,0.006302929,0,0,0.00355815
female,29,0,0.003987624,0.001160195,0.009437816,0,0,0.001368018,0.006711892,0,0,0.004341678
female,30,0,0.004334349,0.001182818,0.012804223,0,0.000971037,0.001665431,0.00703939,0,0,0.005238091
female,31,0,0.004712336,0.00119696,0.016067087,0.000739975,0.001863582,0.001948563,0.007297926,0,0,0.006244896
female,32,0,0.0051213,0.0012,0.0189,0.0025,0.0032,0.0022,0.0075,0,0,0.0073596
female,33,3.97E-05,0.00556054,0.001190459,0.021039825,0.005331938,0.005091249,0.002405751,0.007669306,0,0,0.008578995
female,34,8.06E-05,0.006027687,0.001171441,0.022476515,0.009114838,0.007709454,0.00256551,0.007874305,0,0,0.009897015
female,35,0.000101598,0.006519954,0.001147193,0.023263291,0.013651769,0.011242036,0.002682394,0.008194652,0,0,0.011306877
female,36,8.18E-05,0.007034553,0.001121963,0.023453379,0.0187458,0.015876411,0.002759518,0.008709999,0,0,0.012801799
female,37,0,0.0075687,0.0011,0.0231,0.0242,0.0218,0.0028,0.0095,0,0,0.014375
female,38,-0.000143312,0.008119046,0.001085648,0.022274427,0.029802391,0.029136895,0.00280806,0.010627848,0,0,0.016018186
female,39,-0.000262269,0.008680001,0.001083641,0.021120125,0.035280805,0.037757882,0.002792343,0.012090887,0,0,0.017717014
female,40,-0.00024957,0.009245412,0.001098811,0.019798611,0.040348022,0.047470421,0.002762594,0.013870003,3.70E-05,0.000515581,0.019455628
female,41,2.09E-06,0.009809129,0.001135986,0.018471397,0.044716826,0.058081974,0.002728564,0.015946079,9.74E-05,0.000516339,0.021218176
female,42,0.0006,0.010365,0.0012,0.0173,0.0481,0.0694,0.0027,0.0183,0.0002,0.0003,0.0229888
female,43,0.001621561,0.010906777,0.001294148,0.016408867,0.050275296,0.081201173,0.002684407,0.020905704,0.000364976,-0.000143557,0.024750142
female,44,0.003024511,0.011427832,0.001415594,0.015774183,0.051280344,0.093139019,0.00268032,0.023709346,0.00065022,-0.000549237,0.026478819
female,45,0.004736681,0.011921437,0.001559965,0.015335066,0.051217744,0.104836279,0.002684029,0.026650136,0.001122978,-0.000583138,0.028149946
female,46,0.006685901,0.012380868,0.001722891,0.015030632,0.050190096,0.115915693,0.002691825,0.029667284,0.00185049,8.86E-05,0.029738635
female,47,0.0088,0.0127994,0.0019,0.0148,0.0483,0.126,0.0027,0.0327,0.0029,0.0018,0.03122
female,48,0.010989868,0.013171617,0.002088159,0.014591704,0.045687625,0.134838414,0.002705511,0.035719737,0.004337703,0.004871745,0.032571175
female,49,0.013098624,0.013497348,0.002289184,0.014391941,0.04264342,0.142686042,0.002707979,0.038826929,0.0062256,0.009572295,0.033777376
female,50,0.014952446,0.013777729,0.00250613,0.014196327,0.039495402,0.149924462,0.002707691,0.042154252,0.008624647,0.016156972,0.034825839
female,51,0.016377512,0.014013901,0.002742051,0.014000475,0.03657159,0.156935255,0.002704936,0.045834383,0.011595795,0.024881099,0.035703802
female,52,0.0172,0.014207,0.003,0.0138,0.0342,0.1641,0.0027,0.05,0.0152,0.036,0.0363985
