sex,age,ihd,stroke,diabetes,cancerBreast,cancerColorectum,cancerLung,cancerStomach,cancerLiver,cancerKidney,cancerPancreas,cirrhosis
female,22,0,0.0017307,0.0019,0.0003,0,0,0,0,0,0,0.0018083
female,23,0,0.001806708,0.002555819,0.000420089,0,0,0,0,0,0,0.001889461
female,24,0,0.00188261,0.00335698,0.000566316,0,0,0,0,0,0,0.001969994
female,25,0,0.001958629,0.004310231,0.000742498,0,0,0,0.000115633,0,0,0.002049667
female,26,0,0.002034985,0.005422322,0.000952453,0,0,0,0.000160686,0,0,0.002128246
female,27,0,0.0021119,0.0067,0.0012,0,0,0,0.0002,0,0,0.0022055
female,28,0,0.002189761,0.008151548,0.001489474,0,0,0,0.000229606,0,0,0.002281171
female,29,0,0.002269613,0.009791377,0.001827284,0,0,0,0.000251243,0,0,0.0023549
female,30,0,0.002352664,0.011635432,0.002220357,0.000416888,0,0.000109657,0.000268077,0,0,0.002426304
female,31,0,0.002440123,0.013699658,0.00267562,0.000457084,0,0.000155878,0.000283274,0,0,0.002494999
female,32,0,0.0025332,0.016,0.0032,0.0005,0,0.0002,0.0003,0,0,0.0025606
female,33,1.56E-05,0.002633163,0.01854999,0.003800415,0.000546902,0,0.000239117,0.000320481,0,0,0.002622818
female,34,4.12E-05,0.002741519,0.021353513,0.004483748,0.000599069,0,0.000275327,0.00034319,0,0,0.002681739
female,35,7.90E-05,0.002859833,0.02441204,0.005256873,0.000657786,8.70E-05,0.000311977,0.000365657,0,0,0.00273754
female,36,0.000131228,0.002989671,0.027727045,0.006126666,0.000724335,0.000137685,0.000352419,0.000385417,0,0,0.0027904
female,37,0.0002,0.0031326,0.0313,0.0071,0.0008,0.0002,0.0004,0.0004,0,0,0.0028405
female,38,0.000287774,0.003290078,0.035130892,0.008183267,0.000885585,0.000274475,0.000456772,0.000407669,0,0,0.002888207
female,39,0.000397981,0.00346314,0.039213772,0.009380925,0.000979973,0.000361432,0.000519595,0.000409598,0,0,0.002934651
female,40,0.0005343,0.003652713,0.043541206,0.010696949,0.001081569,0.000461151,0.000584033,0.000407694,5.88E-05,0,0.002981152
female,41,0.000700413,0.003859724,0.04810576,0.012135316,0.001188777,0.000573914,0.000645647,0.00040386,8.12E-05,0,0.003029028
female,42,0.0009,0.0040851,0.0529,0.0137,0.0013,0.0007,0.0007,0.0004,0.0001,0,0.0030796
female,43,0.00113571,0.004330273,0.057916041,0.015392118,0.001414759,0.00083937,0.000744195,0.000397644,0.000113728,0,0.003134211
female,44,0.001406069,0.004598689,0.063144198,0.017201353,0.001537038,0.0009907,0.000781492,0.000396817,0.000125828,0,0.003194301
female,45,0.001708574,0.004894299,0.068574334,0.019114529,0.001671938,0.001152345,0.000816692,0.000397167,0.000141064,3.73E-05,0.003261336
female,46,0.002040719,0.005221052,0.074196313,0.02111847,0.001824558,0.00132266,0.000854594,0.000398345,0.000164199,6.38E-05,0.003336781
female,47,0.0024,0.0055829,0.08,0.0232,0.002,0.0015,0.0009,0.0004,0.0002,0.0001,0.0034221
female,48,0.002784586,0.005984401,0.085974544,0.02534746,0.002203379,0.001683244,0.000956848,0.000401755,0.000252144,0.00014678,0.003518399
